seq1,seq2,n_operations,time
../seqs/seq1.txt,../seqs/seq2.txt,611,0.00014448165893554688
../seqs/seq1.txt,../seqs/seq3.txt,2353,0.00043129920959472656
../seqs/seq1.txt,../seqs/seq4.txt,2425,0.0004374980926513672
../seqs/seq1.txt,../seqs/seq5.txt,4845,0.0008184909820556641
../seqs/seq1.txt,../seqs/seq6.txt,4806,0.0008134841918945312
../seqs/seq1.txt,../seqs/seq7.txt,9579,0.0016527175903320312
../seqs/seq1.txt,../seqs/seq8.txt,9533,0.0016112327575683594
../seqs/seq1.txt,../seqs/seq9.txt,14333,0.0023047924041748047
../seqs/seq1.txt,../seqs/seq10.txt,14371,0.0023665428161621094
../seqs/seq1.txt,../seqs/seq11.txt,19163,0.003206968307495117
../seqs/seq1.txt,../seqs/seq12.txt,19062,0.0030968189239501953
../seqs/seq2.txt,../seqs/seq3.txt,2705,0.0005805492401123047
../seqs/seq2.txt,../seqs/seq4.txt,2871,0.0005445480346679688
../seqs/seq2.txt,../seqs/seq5.txt,5615,0.0009441375732421875
../seqs/seq2.txt,../seqs/seq6.txt,5646,0.0009946823120117188
../seqs/seq2.txt,../seqs/seq7.txt,11234,0.0021851062774658203
../seqs/seq2.txt,../seqs/seq8.txt,11224,0.0018002986907958984
../seqs/seq2.txt,../seqs/seq9.txt,16773,0.0026590824127197266
../seqs/seq2.txt,../seqs/seq10.txt,16804,0.002672910690307617
../seqs/seq2.txt,../seqs/seq11.txt,22411,0.0038366317749023438
../seqs/seq2.txt,../seqs/seq12.txt,22357,0.0037834644317626953
../seqs/seq3.txt,../seqs/seq4.txt,9992,0.0016067028045654297
../seqs/seq3.txt,../seqs/seq5.txt,19910,0.003292083740234375
../seqs/seq3.txt,../seqs/seq6.txt,19960,0.003247499465942383
../seqs/seq3.txt,../seqs/seq7.txt,40292,0.006952524185180664
../seqs/seq3.txt,../seqs/seq8.txt,40205,0.006776094436645508
../seqs/seq3.txt,../seqs/seq9.txt,60594,0.010894298553466797
../seqs/seq3.txt,../seqs/seq10.txt,60904,0.010298728942871094
../seqs/seq3.txt,../seqs/seq11.txt,81337,0.01351475715637207
../seqs/seq3.txt,../seqs/seq12.txt,81206,0.013382911682128906
../seqs/seq4.txt,../seqs/seq7.txt,41852,0.006903648376464844
../seqs/seq4.txt,../seqs/seq8.txt,41932,0.0070683956146240234
../seqs/seq4.txt,../seqs/seq9.txt,63006,0.011314868927001953
../seqs/seq4.txt,../seqs/seq10.txt,62969,0.010376691818237305
../seqs/seq4.txt,../seqs/seq11.txt,84400,0.014747858047485352
../seqs/seq4.txt,../seqs/seq12.txt,84247,0.013752460479736328
../seqs/seq5.txt,../seqs/seq6.txt,40288,0.007232666015625
../seqs/seq5.txt,../seqs/seq7.txt,81083,0.013503551483154297
../seqs/seq5.txt,../seqs/seq9.txt,122943,0.020406246185302734
../seqs/seq5.txt,../seqs/seq10.txt,122435,0.020587682723999023
../seqs/seq5.txt,../seqs/seq11.txt,164513,0.027324199676513672
../seqs/seq5.txt,../seqs/seq12.txt,164502,0.027012348175048828
../seqs/seq6.txt,../seqs/seq8.txt,81135,0.013400793075561523
../seqs/seq6.txt,../seqs/seq9.txt,122851,0.019821643829345703
../seqs/seq6.txt,../seqs/seq10.txt,122807,0.019646883010864258
../seqs/seq6.txt,../seqs/seq11.txt,164654,0.027609586715698242
../seqs/seq6.txt,../seqs/seq12.txt,164885,0.02718520164489746
../seqs/seq7.txt,../seqs/seq8.txt,159252,0.02718043327331543
../seqs/seq7.txt,../seqs/seq10.txt,240023,0.039072513580322266
../seqs/seq7.txt,../seqs/seq11.txt,323076,0.05260133743286133
../seqs/seq8.txt,../seqs/seq9.txt,240018,0.03864717483520508
../seqs/seq8.txt,../seqs/seq11.txt,321701,0.05201840400695801
